Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
"Professor Singer is nice. We had some complications due to classes moving online, but I did learn a good amount. The problem sets were kind of hard to manage online and due to lack of resources, which led to them being extended often. The assignments were pretty difficult for someone with no python experience, and often times there's very little introduction to some of the libraries used. Some of the TAs were not super helpful.",,
"I have nothing nice to say, so I won't say anything at all. Take only if you're trying to get the COS certificate and avoid 226 & 217",,
not as bad as in past years,,
"Contrary to what some may believe from past years, Prof. Singer did a fantastic job teaching the material both on campus and remotely. He was very accommodating with the assignments, and I felt like I learned quite a lot from doing them. Also, Daniel ""Changyan"" Wang is an incredible preceptor with one of the fastest response times to email/piazza I've ever seen. Not only that but he's incredibly fair with grading. If Singer teaches the course again, I highly recommend taking it (though take the online format into account for this review).",,
"The class was quite disorganized, most of the assignments requiring multiple downloads because of existing bugs given by the staff. The staff somewhat made up for it by giving many extensions for the assignments though. Overall did not think I learned much about machine learning; it was much more theoretical/mathematical and the assignments seemed more like debugging and making sure the matrix dimensions were correctly constructed rather than learning how to use machine learning to solve problems.",,
Not bad.,,
"Take the course. This year was a significant improvement over the previous iterations of the course with Professor Singer. Changyan Wang was the best preceptor. Have a look at the Programming Assignments when they come out. Some take longer than others. Even though you may be able to do these assignments without understanding 100% of the material, I highly recommend that you go to the lectures - it was worth it.",,
"I think this course needs some more work before it's worth taking. It had more of an applications focus this year, but there was a disconnect between the dense mathematical notation on the lectures slides and fill-in-the-blank style coding assignments, from which I didn't really learn much. Also, while I appreciate the course staff's flexibility in making things easier for us towards the end of the semester, it seemed like assignment specifications and grade policies were constantly changing. Had it not been for this amazing TA (Daniel) who was super responsive on Piazza, I feel like the course would have fallen apart. Not a terrible class but it needs more structure.",,
"Some materials are interesting, but the course is not well-structured. Firstly, we don't have a clear grading scheme of the course until almost the end of the semester. Secondly, the plans are always changed throughout the course. This may be because of the disruption, but it happens since the beginning of the course. Lecture is fine, but it doesn't cover the most important material that we should know in the machine learning. Finally, I think the assignments did not help students to understand the materials better. They were tedious and not structured. I would recommend taking with the other instructors instead.",,
Don't take if Singer is teaching it. Learn ML from online courses instead.,,
"Do not take, this was one of the worst classes I've taken at Princeton.",,
"Professor Singer is a very nice professor, and he really cares about the students. The assignments were pretty fun and educational, and all-in-all I feel I was able to come away understanding the basic underpinnings of machine learning. That being said, the course was much more theoretical than I expected. I did enjoy learning the mathematics behind machine learning, but I wish I could've learned more hands-on, applications-based skills.With regard to the lectures and curriculum, I was overall a bit disappointed. I felt that the new machine learning topics were not motivated well enough, and it wasn't always clear why method A is better than method B, or why method A is even necessary, or if there are pros and cons of each method, etc.By the end of the course, I felt that I had learned many of the fundamental underpinnings of machine learning (as well as Python + NumPy), but I still was hoping for a more cohesive, broad-picture understanding of machine learning, rather than simply having learned several techniques without much motivation and purpose.",,
"I thought it was a decent introduction to machine learning. The coding assignments were kind of strange in that we only had to fill in some of the code and so it was hard to understand the full picture. Singer was pretty invested in the lectures and the slides, but the topics were frequently confusing. He should have done more to motivate each of the topics before teaching them. Changyan was a god though, super helpful and clear and always on piazza.",,
"Hard to follow. Dives too deep too fast, especially for an introductory class. The lecturer is kind and understanding, however.",,
"It is astonishing how the department can't teach an introduction to ML course after years of trying -- this has been the case since this senior's freshman year. Assignments were extremely disorganized. There did not appear to be a plan for problem sets -- the course staff were laying out the track as the train rolled through. Course staff also changed how the class would be graded right before the last week of classes, and anyone who got <40% on a problem set would fail the entire class. tl;dr assignments and class organization were awful, lectures were okay.",,
"A bit disorganized, sometimes moves too slowly, but otherwise fine and will only get better as the dept creates proper teaching aids. Note it does not cover that much in ML",,
"Steer clear. I was wary of the poor reviews from the last time Singer taught this course but stuck with it because of how adamantly he said he was working to change the course to be more approachable. Semester started off okay - lectures were accessible and Prof seemed to be open to feedback on whether we were all understanding things alright. Trouble was 2nd half of the semester: grading expectations changed so many times that students couldn't even keep up with what the latest update was, virtual lectures and some office hours got canceled without explanation (students sat in empty Zoom calls for 1 hour+ before giving up), etc. I was very sympathetic to the difficulties of the switch to virtual instruction and was stressed but not mad about these issues at first. However, it became evident that the Prof had a poor attitude and little sympathy for the students' stress. When students (not myself) VERY politely asked for updates/transparency on Piazza, Singer passive-aggressively thanked the portion of students who were ""patient"". Obviously students would be asking for grading updates the evening before the PDF-election deadline, since we had been promised grade updates so we could make adequate decisions. We did receive updates just in time, but the poor attitude was unnecessary and the constant grading scheme changes made everything very stressful. Students were stepping on eggshells trying to ask for transparency on Piazza. Although the lecture slides were pretty and I did learn the material, it was not worth the frustrations and stresses from dealing with the messy course logistics. However-- shoutout to Changyan for being one of the best TAs I've had. He explained concepts really well, made students feel comfortable asking questions, and showed a lot of empathy. A beacon of light in an otherwise very frustrating course.",,
