Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
Do all of the PSETs! Go to McGraw! Meet with Dr. Francis!,,
"Prepare for lecture because they are very confusing. Lectures are a good review for what you learn on your own, and not very good at teaching you without you being prepared.",,
"first unit is purely theoretical, but after that you'll be back to a lot of equations. do read/skim the textbook (for the units that you can) and check your psets after they're graded. and try not to miss lecture or you will struggle.",,
all the problem sets help,,
"its a lot, but great course. if you do it all, you learn chemistry well by the end. be prepared to commit fully and you'll be fine.",,
"Do what you gotta do, kiddos",,
"This is your classic introduction to chemistry course. I thought there was a lot of support which was helpful, but be aware that you will have to put in significant time preparing for assessments.",,
"I took this course after not enjoying CHM201, and I was pleasantly surprised. I found Prof. Bocarsly to be an engaging lecture who conveyed the information in a manner accessible to the students (something that I did not experience in lecture in CHM201). Lectures were recorded and Dr. Francis also provided us a copy of her notes. This was a huge plus, as Dr. Francis is an impecable note taker. One more pro-tip...try to sign-up for either John or Calvin's precept. These guys are absolute legends and just have this way of explaining difficult concepts intuitively. The Chem department should give these guys a raise!",,
Dr. Francis is the best thing to ever happen to the Gen Chem department. Absolutely amazing. The best human being. She made both semesters of chemistry livable.,,
"The course is very interesting and honestly I had no complaints and felt like everything was very fair up until the final. Study the last unit SO HARD, because it seems as if the other units were just irrelevant in the final, although we were told that 50% of the final would be older units, that just isn't true! Get a good preceptor. John or Calvin seem to be overwhelmingly better than the other preceptors. Honestly pray.",,
Hard but doable! Dr. Francis is the best. Literally listen to her every word and she will get you through the class.,,
"Probably nobody will be taking this class unless they're a science major and/or premed. In any case, I was the latter and I found it fun. It can be a LOT of hours a week, but as someone who did not take AP chem, I would say lectures are necessary and textbook readings not as much (but definitely useful).",,
"ask questions!!! cannot stress that enough. and use the practice materials of your Ta's and Dr. Francis, those help a lot",,
Go to lectures and go to precepts. precepts are sooo helpful,,
"This course can be time-consuming but is very manageable, and much more manageable than CHM 201. The p-sets are not too long or difficult and there are only a few lab reports. Take notes during lectures and reading the textbook and working through the example problems is really helpful. Professor Bocarsly and Professor L'Esperance's lectures were ok, some TA's office hours are really helpful, some are not. Go to office hours to work on p-sets or lab reports when needed. Overall this is a pretty standard Gen Chem course, not amazing but no reason to avoid taking it!",,
"Take this course if you have to. CHM202 is much better than CHM201, but take advantage of your resources! Dr. Francis is an abosolute GEM. Go to her office hours and ask questions when you do not understand anything. Start studying early and use the psets to help you study.",,
"When studying for exams, use the test questions at the end of every chapter. Use Dr. Francis's lecture notes and the annotated problems that she posts, they are extremely helpful. If you can, try getting Calvin Spolar as your preceptor. If you took CHM207, the lectures in this class don't stick quite as much to the textbook, but it's still very good for review and you should use it for the practice problems that are in the textbook. The first exam isn't too bad, but the second exam is, so definitely make sure to review and do LOTS of practice problems. The labs are pretty well structured, although they can take a lot of time. Bocarsly can sometimes explain things in a way that makes it more confusing than it needs to be, and if that happens your best bet is to ask your preceptor about it. The quality of your preceptor will affect how difficult the course is for you, especially for the topics towards the 2nd half of the semester.",,
Read the textbook,,
"Likely taking this as a prereq, go to office hours and look through textbook when in need of help.",,
"This class is unavoidable as a pre-med requirement so be prepared to self-study for a lot of the content! Overall, the material was pretty interesting though.",,
Do not take this course unless you have to for a requirement.,,
Make sure you are understand and keeping up with each week's lectures or else it is very easy to fall behind.,,
Much better than CHM 207!,,
read the textbook,,
"If you ever have a question, resolve it right away. The content builds on itself and the course will become difficult if you are unclear on a foundational concept. Overall, CHM 202 was not that difficult. Focus on learning the concepts and the grades will come. Good luck!",,
"If you are in 201 and haven't taken chemistry in some capacities before, you might want to prepare earlier for the second half of the semester. The exams are much harder than the practice material given.",,
Use your resources (McGraw and TA hours),,
"I would advise doing a lot of practice problems to review, especially with topics like kinetics, acids and bases, buffers, electrochemistry and making sure to continue reviewing older topics throughout the semester so final exam time is a bit easier",,
Attend precepts,,
I would only take this course if you absolutely have to and be prepared to do a lot of work outside of class.,,
"I would never take this course again. It was so hard for being an introductory chemistry class. I think this class showed me that I never want to study anything related to science because of how discouraging the course is. Even with a general sense of the overall concepts for each unit, they somehow find a way to make sure that you feel as though you do not understand what is being taught of you. I thought I learned from my mistakes in CHM 201 but I was surely mistaken.",,
Try to stay awake and listen to lectures.,,
"Only take this course if it is needed to fulfill a requirement. Other than that, study hard (when concepts become confusing in lecture, sometimes the textbook can help elaborate on the concepts). Textbook reading is not mandatory, but I suggest looking at the textbook chapters before lectures.",,
Great class! If you've taken 207 some of the material is a repeat (which is actually pretty nice). Staying on top of the readings can be useful but often Bocarsely doesn't necessarily follow the book.,,
I would absolutely take this course,,
"Continuation of CHM 201, same amount of workload if not a bit heavier",,
This class isn't terrible if you are willing to put in the work. You must keep up and synethesize the material as you go don't wait till the last moment. Test 1 is good test 2 is basically all math so it depends if you like math or not. Read the textbook it is actually helpful. GO TO DR. FRANCIS SHE IS AWESOME AND HELPFUl. also go to the Professor's office hours he is really nice and helpful and will explain clearer,,
