Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
"good intro class for bio. I didn't take AP bio so it was quite a challenge for me to understand/memorize concepts and vocab -- but even then I averaged around ~B. Professors are very good. Pre lab quizzes are very easy, no need to stress about them too much. If you don't want to buy a clicker it's not required.",,
"They post slides, but going to lectures is much better. If you go to lectures, there's really no reason to do the readings. Problem sets are pretty short and straightforward. Labs are fun too.",,
This class is required for a lot of people but it's still a great introductory class. There's some pretty interesting concepts and precepts are really helpful for solving and understanding p-sets.,,
"Although you will most likely take this class because you have to, it is a great introduction to Molecular Biology. The lecturers and preceptors are both fantastic.",,
"Take this course if you're interested in biology. The material's not easy but if you put in the work you can do well. Problem sets are pretty self-explanatory and you get time to go over it with other students, while labs are always interesting and yield tangible results. Exams are tough, but so are exams in all the other classes here.",,
Best class to know if you like premed stuff,,
"You don't really need to do the readings in the textbook, just take good notes on the lectures. Go to anyone for help, they are all there to help you succeed. This is probably one of the more well organized courses and all of the instructors are fantastic. Although it is definitely difficult to get an A in the class.",,
Awesome course!! It really makes you excited about biology and wanting to learn more. The professors and AIs are super helpful and nice.,,
"If you stay on top of your work, the class is very manageable.",,
Take the most advantage of precept (dr. McDonald is especially helpful and really nice!),,
"Go to office hours, and expect to see weirdly worded questions on exams.",,
"Use the textbook only to clarify confusing sections from lecture. Also, make sure to do the problem sets on your own first before checking them in precept with other students.",,
The precepts are very helpful in explaining the concepts and go over the entire pset. The lectures are dense but I thought they were well presented and interesting.,,
"While it is not necessary to read all of the supplemental materials posted for each lecture, I would highly recommend it as they help orient the reader for oncoming topics as well as provide some degree of clarification. Furthermore, precept is an ABSOLUTE must. It is by far the most useful review material provided, and can honestly be fun at times!",,
"Go to office hours. Know the learning keys. Pay attention in precept, and do the psets.",,
Go to the lectures and you will be fine. This class is manageable.,,
This is a solid introductory course for molecular biology. It covers a range of topics giving you the basic knowledge you need to move forward.,,
Pay attention in lecture; don't ignore the details; and put effort into studying a bit outside of class.,,
Its an interesting class if you really enjoy biology,,
Review your notes EVERYDAY. There is a lot of memorization required to succeed in this class.,,
"As a MOL major, I actually didn't like this class for some reason. I found lectures pretty interesting and Notterman and Gavis are exceptional at teaching. However, I thought that precepts (on campus) were more of a waste of time (too much group work that doesn't work out) and I thought that the labs were boring (however, Dr McDonald and Dr Thieringer are amazing teachers--it was just the content). Psets are easy to get done in <1 hour the night before, but since they are ""easier,"" prepare to be more surprised about the difficulty on quiz/midterm/final. A lot of the questions on quiz/midterm as described by my friends and I could have had ""multiple correct answers."" I would say to avoid this, try to not overthink questions and also study with friends. It's good practice to try to say out loud the main takeaway of each slide from the lecture. I would encourage you to go to office hours (especially Dr McDonald's, she's amazing, I wish I had her as a tutor all year) every week with questions from the two lectures that week to make sure you actually understand the content. Since precepts are mandatory, get precept with Dr McDonald!",,
