Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
"I wouldn't take this course if you don't need to unless you're very interested in the subject. Professor Hughson is a great lecturer and the material is interesting, but the class is a lot of work. It's a lot to keep up with, so I wouldn't add it onto your schedule unless you have to, or are confident in your abilities to manage consistent hours of daily reading and studying for the course.",,
do all the practice problems,,
It was an interesting class! Very engaging,,
"Definitely can be a hard class, but is also v interesting and is organized REALLY well so try to take advantage of all the lecture notes / readings / pset questions they give you if you have trouble in this class. If you take 345 seriously enough, you can definitely succeed -- try to study for the exams well in advance, and go to office hours if you ever have trouble or don't get some concepts. Biochem can definitely be really cool at times, and getting through this course is v satisfying since it gives you a super comprehensive view on human metabolism.",,
"Overall, I thought that this was an ok course. It is hard, but with good time management and focus, it is very doable.",,
Focus on understanding how key concepts connect!,,
Professor Hughson is wonderful,,
Highly recommend!,,
"A tough course, but you learn some really cool stuff! One heads up- the course picks up very quickly after the first test and you cover 8-10 different pathways that all connected in some way. I just wish someone had better explained the big picture to me at the beginning.",,
"Definitely try to study as you go. And do what works best for you, there's a lot of encouragement to read along in the book but I actually found the textbook not so helpful. Do practice problems when you can, and try to always understand the broader picture, especially when you get to metabolism.",,
"If Hughson is teaching this course, you should be good so as long as you pay attention in lecture and study what he gives you in precepts and practice tests. Textbook can supplement if you feel unclear on something.",,
"Take it if Hughson teaches. But, be aware that his wording on the exam is not so good.",,
"Most likely you're taking this course because you have to, but this course is honestly really well done and super interesting!! Take it with Prof. Hughson if you can, he's great. Try and read or at least skim the textbook as you go because they are super helpful. Study for the exams like you did for orgo (at least a week before) and definitely do the practice exams. Finally, definitely always review your notes from the lecture before for the iClickers. Good luck!",,
"Don't take it unless you need to, but if you need to you will be just fine.",,
"Professor Hughson is one of the best professors I've had at Princeton. He truly understands everything he teaches and lays out all the information clearly. He's also really kind and sometimes tells little jokes during lectures. If Hughson is teaching, definitely go to OH if you can! However, just know that this class is a lot of content. All 50 minutes of every lecture are filled with information, and there are daily clicker questions at the beginning of class/throughout lecture (and they're graded for correctness). You NEED to take good notes, and missing class is really difficult. Hughson's notes are helpful, but it can be hard to catch up on a topic if you miss class. You can get away with not reading the textbook, but reading chapter summaries at least is really helpful. Stay organized and keep a format throughout the semester for notes for enzymes/mechanisms/pathways.",,
"Though this course is interesting, it's hard, and you'll be competing with other prehealth students jockeying for high GPAs. For the casual biochemist simply looking for an interesting science class, this is likely not the move, as the competition can often feel more stressful than the actual material. Clicker questions are also a bit of a pain, but you'll learn to appreciate them.",,
"I would advise students to spend a lot of time learning the material along the way and not to fall behind. There is way too much material packed into this class, and it is essentially a test of memorization. Do your best to memorize the material as you go and to use preceptors/friends as resources if your'e ever confused. Good luck!",,
"Definitely take this with Prof. Hughson. His lectures are super good - really concise and easy to understand. His energy just makes class way more enjoyable, and the way he moves through the material is logical. Exams are fair and the clicker quizzes are chill don't get worried about those at all.",,
"Professor Hughson is very entertaining and funny, but there is a LOT of material to memorize and study. You will need to dedicate a lot of time to memorize every detail that has been presented to you in order to do well in this course.",,
Keep up with the memorization throughout the semester,,
