Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
quite boring course; not an easy STL; go elsewhere if you need a distribution requirement,,
"Prof. Lombrozo is amazing! Her lectures for this course were super interesting, and she is incredibly kind. Instead of making students sit through two fifty minute zoom lectures, she made the decision to switch to just one synchronous lecture with shorter asychronous lecture videos. This was a really good move and I think this class worked really well in the format she chose. She is also very organized and upfront with her expectations, which made doing every assignment much easier. She responds quickly to emails and is very helpful. Partway through the course, she sent out a survey about the way she's running the course, and she took the time afterward to talk through the responses she got and how she would address our concerns. As far as labs are concerned, they were kind of long for the content we went over in them (they were  very similar to the Social Psychology labs, with QALMRI and final project preparation, but the Social Psychology labs are 50 minutes whereas the labs in this class were 3 hours). It does count as a lab credit though. Also, Kerem made labs super fun!! He really made an effort to get to know everyone in his labs, and he was always ready to help out if we had any problems understanding the content. He is also very funny, which is good in a teacher you are spending three hours per week with. Overall, this course was really really great!",,
"Take this course! Professor Lombrozo is great and really wants students to understand the material, and it shows in her enthusiasm when teaching. Other than that, readings are reasonable, lectures are fun and informative, and exams being open-note doesn't hurt!",,
Very well taught. Interesting. You will definitely come out of this class having learnt something you didn't know. Highly recommend.,,
"There is a lot of reading, but it is important to do. This class will be more fun in-person, and you will learn a lot of cool things on cognitive processes.",,
"As a student considering a PSY major, I would definitely recommend taking this course as an intro PSY course. I learned so much from Professor Lombrozo and from the labs about experimental design and the intricacies of conducting science.",,
dont take it unless you have to or are very interested,,
Professor Lombrozo is amazing. Make flashcards to study for exams!,,
This class is a lot more work than it needs to be frankly. The quizzes every week were sort of ridiculous and the lab can be boring if you've taken any other PSY lab before. It was well taught tho and you definitely learn a lot. The material can be sort of dry though...,,
"Interesting course and very well-run. It is a decent amount of work though, so keep that in mind.",,
"decently easy class and very interesting! lectures were great, readings were interesting, labs were kind of painful, tests were very fair, and the final project really isn't much work since you're forced to spread the work across the last month or so of the semester in lab. overall would recommend for anyone interested, but would advise getting a lab that isn't at night since you might fall asleep out of boredom",,
