Please Note,Princeton University does not consider student comment information provided to be official University course evaluation data; it does not take that information into consideration in approving courses for permanent status; and it does not take the information into consideration in making tenure or promotion decisions.,
Student Comments,,What advice would you give to another student considering taking this course?
"Check who is teaching the course, make sure you're strong on the main readings before precept, really nail down the theories",,
Get into a group and split readings.,,
This class should not be an introductory course. The amount of coursework is not feasible for undergraduates. Expect 200 pages of reading per week as well as precept assignments. Professor Moravcsik is an incredible lecturer and the material is very practical/interesting but the class should be organized in a different way.,,
"This course is quite a bit of work. 150-200 pages of reading a week + some films, and the readings are somewhat necessary to do well in the course. Grading was also a little harsh. Lectures were always super interesting though, and Heather was an amazing preceptor. Take if you a strong interest, but definitely not an easy 5th class.",,
"I would give the strongest recommendation possible against taking this course unless you are an extreme masochist. This was by far the worst course I took. It singlehandedly made me no longer want to be a politics or SPIA major. The reading were an enormous waste of time, the assignments and midterm were unreasonable, and we were given little to no guidance on how to do most assignments even though it was supposed to be an introductory course and many of the students had never had to complete assignments that were anything like what was assigned in the class. While some of the information in the class was interesting, I don't think we learned as much as we should have and the entire experience was unreasonably stressful and time consuming. I spent between thirty and forty hours a week doing readings for this class and still almost never finished everything for the week.",,
"I strongly recommend against this course for all students if Dr. Moravcsik is teaching it. The lectures are a bit meandering and the readings can be dense, but more importantly the exams are poorly (and arguably vindictively) written. The midterm exam gave a prompt that could not be adequately answered in the space provided and was graded harshly despite this fact. The final exam tested relatively obscure and unimportant material, focusing on minute concepts with tenuous connection to international relations instead of the more important ideas or points.If Dr. Moravcsik is not teaching this course, then it may be worthwhile. If he is and you are interested in international relations, you are better off taking POL 396, POL 380, POL 388, or Introduction to Comparative Politics.",,
"This class is a big time commitment. With heavy reading loads, mandatory movies that you are tested on, and last minute precept assignments, sometimes it can be overwhelming. However, if you can stick it out and really engage with the material, it is worth it. You learn so much important history and develop different theories of IR that help you to think about conflict in various ways. I would recommend in a 4 class semester with light workload.",,
Do not take this class.,,
"Go to lecture and do the readings. They're worth your while as a student, even if they aren't necessary for getting a good grade.",,
"This is not the worst course you will take at Princeton, but Dr. Moravcsik creates so much unnecessary stress that you do not need. His lectures are dry, the readings are unnecessarily heavy, and the grading is strict on writing assignments, making it difficult to get an A. The upper level international relations courses are better than this one, so just take International Organizations, Human Rights, or Grand Strategy instead.",,
complete the study questions every week instead of leaving them for the end!,,
"I highly discourage taking this course as a freshman if you aren't confident in your understanding of European history, economics and current events related to foreign policy. Contrary to the course description, this class doesn't not feel like an introductory course. Do not take this course if you are taking other reading intensive courses. Expect to dedicate far more time to this course than any other course?even intensive seminars and language courses.Honestly, if you are trying to satisfy a core course for SPIA, pick a different one. The material in this course is interesting and I definitely learned a lot, but it wasn't worth the stress and overwhelming workload. If you're really interested in the concepts taught in this class, take a class where the material is presented better and the readings are less dense. Expect to be notified about precept assignments every week with little advanced notice (usually the day or two days before the assignment is due). If you want to get an A in the course, you're probably going to have to do all of the readings and define the hundreds of terms + dozens of study questions every week. Either that or you'll have to have a strong understanding of European history, economics and current foreign policy coming into the course to be able to finesse your way through it without selling your soul to this class. If you don't do all of the readings, you can probably do well on the essays (that's what I did), but you're screwed for the final closed book exam. Even if you do all of the readings, good luck memorizing all of the material. It's only 10,000 years of human history and over a thousand terms that you have to know - fun times!I've heard that the professor who used to teach this class was better than Moravcsik. Perhaps that's true. But my experience was not good.",,
"I can't even begin to understand how this course could be so poorly run. Constant lack of communication and lack of trust (essentially accused students that they would cheat so exam couldn't move online). An unbelievable amount of reading that is unnecessary (find the 3 important readings a week and do only those, dont worry about articles). Don't take this if you are just interested in IR, it is incredibly dry and reduces everything to broad statements that mean nothing. Avoid this course AT ALL COSTS, especially if Moravcisk is teaching.",,
"This is a very nice introductory course on international relations. There is a lot of reading to do every week and the depth and breadth of the material that is covered is immense, so it might be somewhat time consuming",,
"The first half of the course is like a world/history court that talks about how and why wars are caused. The second half goes over many modern day problems in today's political landscape. There was a lot of readings each week, do them if you want to know what is going on. Lectures give an overview and does touch upon the reading's topics but the readings are pretty important.",,
Do not take this class unless you have to. Professor Moravscik is very one-sided in his discussions and really teaches in a way that is entitled and as though he is better than everyone else. I struggled to grasp all the material we had for each week and was left way behind for exam week.,,
Do the readings and go over the IDS weekly. The final is heavily focused on having a good breadth of knowledge on all topics.,,
"Do not take this course if you are a freshman or have a weak background in world history/political theory! I took this course my freshman fall, and the level of readings (100-150, sometimes nearly 200 pages) of dense text was difficult to manage. Especially if you want to close read or take notes, time simply does not allow you to do so.",,
"I would not recommend taking this class, especially with Professor Moravcsik,unless you have a deep interest in international relations. Keep in mind the whole first half of the class is basically a world history class. Professor Moravcsik is very knowledgeable, but he was one of the most unkind professors I've ever had here. He was not understanding of illnesses and left mean feedback on written assignments. He did not seem to care much about students' wellbeing. Between his attitude and the dryness of much of the material, I wish I had done a different SPIA departmental and I don't want you to make the same mistake.",,
not as good as I expected,,
"This is a fantastically well taught course. Professor Moravcsik is a great lecturer and Grace is an awesome preceptor. However, the readings are extremely heavy. The midterms are very fair but the final is brutal if you haven't prepared in the right way, so my advice is to: keep detailed notes on your laptop of how the theories can be applied to each historical event, write an adequate definition (a few sentences) for every single ID on the week you learn about it and keep track of them in a document or digital folder, and ask questions in office hours if you're confused about something because it might come up later. I didn't have much prior knowledge of world history prior to this and felt like it was a good intro. I would recommend this class for someone who's interested in international politics and has the time to invest in the course. I don't recommend it for people planning on doing a five-class workload.",,
"An interesting course but very theoretical and does not get into extreme detail on international issues. Precept was fun, but lectures and the overall operation of the course are not the greatest. you start this class learning about war and end it learning about how human civilization is ending as we know it, so it's just kind of depressing and not taught in an intriguing way.",,
"Don't take it, you'll probably regret it. This course seems super interesting, and it was, but it was also very difficult. The readings seem random and sometimes irrelevant to the current content being covered, lectures moved much too quickly, and there was hardly any time given to complete complex assignments. The professor is very knowledgeable, but he is teaching this low level class like its a high level one. Would not recommend unless you absolutely have to take it.",,
Do not take. The reading load is crazy and is less helpful for exams than you'd think.,,
"This is an introductory course to international relations but involves a lot of challenging and time-consuming readings. The course applies theories of international relations to historical and current events in international relations. This course is especially suitable for someone with an interest in history. Professor Moravcsik is extremely knowledgeable and has a regional expertise in European affairs. Note that this course is challenging because it takes time to learn the theories of international relations and how to use them to interpret IR data (on historical and current events) in a way that focuses on the data rather than the theories, but the class is worthwhile and will help you learn about IR thought and better understand what is at stake in international situations and diplomacy.",,
